date,division,index
2018-01-01,overall,118.1
2018-02-01,overall,118.3
2018-03-01,overall,118.3
2018-04-01,overall,118.4
2018-05-01,overall,118.6
2018-06-01,overall,116.9
2018-07-01,overall,116.9
2018-08-01,overall,117.2
2018-09-01,overall,117.9
2018-10-01,overall,118.1
2018-11-01,overall,118.4
2018-12-01,overall,118.4
2019-01-01,overall,118.3
2019-02-01,overall,118.6
2019-03-01,overall,118.9
2019-04-01,overall,119.0
2019-05-01,overall,119.1
2019-06-01,overall,119.1
2019-07-01,overall,119.2
2019-08-01,overall,119.5
2019-09-01,overall,119.7
2019-10-01,overall,119.8
2019-11-01,overall,120.1
2019-12-01,overall,120.1
2020-01-01,overall,120.2
2020-02-01,overall,120.1
2020-03-01,overall,120.4
2020-04-01,overall,120.5
2020-05-01,overall,120.4
2020-06-01,overall,120.5
2020-07-01,overall,120.5
2020-08-01,overall,120.8
2020-09-01,overall,120.9
2020-10-01,overall,120.8
2020-11-01,overall,120.9
2020-12-01,overall,120.9
2021-01-01,overall,121.0
2021-02-01,overall,121.0
2021-03-01,overall,121.2
2021-04-01,overall,121.3
2021-05-01,overall,121.4
2021-06-01,overall,121.4
2021-07-01,overall,121.3
2021-08-01,overall,121.5
2021-09-01,overall,121.6
2021-10-01,overall,121.6
2021-11-01,overall,122.0
2021-12-01,overall,122.2
2022-01-01,overall,122.9
2022-02-01,overall,123.2
2022-03-01,overall,123.6
2022-04-01,overall,123.8
2022-05-01,overall,124.3
2022-06-01,overall,125.0
2022-07-01,overall,125.4
2022-08-01,overall,126.1
2022-09-01,overall,126.5
2022-10-01,overall,126.6
2022-11-01,overall,127.1
2022-12-01,overall,127.2
2023-01-01,overall,127.7
2023-02-01,overall,128.0
2023-03-01,overall,128.3
2023-04-01,overall,128.3
2023-05-01,overall,128.7
2023-06-01,overall,128.9
2023-07-01,overall,128.89999999999998
2023-08-01,overall,129.2
2023-09-01,overall,129.6
2023-10-01,overall,129.6
2023-11-01,overall,129.6
2023-12-01,overall,129.6
2024-01-01,overall,129.98583
2024-02-01,overall,130.3
2024-03-01,overall,130.5
2024-04-01,overall,130.7
2024-05-01,overall,131.2
2024-06-01,overall,131.3
2024-07-01,overall,131.4
2024-08-01,overall,131.7
2024-09-01,overall,131.9
2024-10-01,overall,131.9
2024-11-01,overall,131.9
2024-12-01,overall,131.7
2025-01-01,overall,132.3
2025-02-01,overall,132.8
2025-03-01,overall,133.0
2025-04-01,overall,133.3
2025-05-01,overall,133.5
2025-06-01,overall,133.6
2025-07-01,overall,133.8
2025-08-01,overall,134.3
2018-01-01,01,127.2
2018-02-01,01,127.4
2018-03-01,01,127.6
2018-04-01,01,127.9
2018-05-01,01,128.1
2018-06-01,01,126.1
2018-07-01,01,126.2
2018-08-01,01,126.4
2018-09-01,01,127.4
2018-10-01,01,127.8
2018-11-01,01,128.4
2018-12-01,01,128.5
2019-01-01,01,129.2
2019-02-01,01,129.6
2019-03-01,01,129.8
2019-04-01,01,129.9
2019-05-01,01,130.0
2019-06-01,01,129.9
2019-07-01,01,130.1
2019-08-01,01,130.3
2019-09-01,01,130.4
2019-10-01,01,130.5
2019-11-01,01,130.7
2019-12-01,01,130.8
2020-01-01,01,131.0
2020-02-01,01,131.2
2020-03-01,01,131.4
2020-04-01,01,131.3
2020-05-01,01,131.4
2020-06-01,01,131.6
2020-07-01,01,131.7
2020-08-01,01,132.1
2020-09-01,01,132.2
2020-10-01,01,132.2
2020-11-01,01,132.3
2020-12-01,01,132.4
2021-01-01,01,132.6
2021-02-01,01,132.7
2021-03-01,01,132.9
2021-04-01,01,133.0
2021-05-01,01,133.1
2021-06-01,01,133.2
2021-07-01,01,133.2
2021-08-01,01,133.3
2021-09-01,01,133.5
2021-10-01,01,133.8
2021-11-01,01,134.4
2021-12-01,01,135.2
2022-01-01,01,136.3
2022-02-01,01,136.9
2022-03-01,01,137.5
2022-04-01,01,138.1
2022-05-01,01,139.0
2022-06-01,01,140.6
2022-07-01,01,142.2
2022-08-01,01,143.0
2022-09-01,01,143.5
2022-10-01,01,144.4
2022-11-01,01,145.4
2022-12-01,01,146.1
2023-01-01,01,146.9
2023-02-01,01,147.3
2023-03-01,01,147.8
2023-04-01,01,148.0
2023-05-01,01,148.8
2023-06-01,01,149.0
2023-07-01,01,149.9
2023-08-01,01,150.3
2023-09-01,01,150.8
2023-10-01,01,151.3
2023-11-01,01,150.8
2023-12-01,01,150.8
2024-01-01,01,151.2
2024-02-01,01,151.9
2024-03-01,01,152.2
2024-04-01,01,152.8
2024-05-01,01,153.1
2024-06-01,01,153.1
2024-07-01,01,153.9
2024-08-01,01,154.3
2024-09-01,01,154.3
2024-10-01,01,156.2
2024-11-01,01,156.4
2024-12-01,01,156.7
2025-01-01,01,157.3
2025-02-01,01,157.6
2025-03-01,01,157.8
2025-04-01,01,158.3
2025-05-01,01,158.6
2025-06-01,01,158.9
2025-07-01,01,159.3
2025-08-01,01,159.6
2018-01-01,02,
2018-02-01,02,
2018-03-01,02,
2018-04-01,02,
2018-05-01,02,
2018-06-01,02,
2018-07-01,02,
2018-08-01,02,
2018-09-01,02,
2018-10-01,02,
2018-11-01,02,
2018-12-01,02,
2019-01-01,02,
2019-02-01,02,
2019-03-01,02,
2019-04-01,02,
2019-05-01,02,
2019-06-01,02,
2019-07-01,02,
2019-08-01,02,
2019-09-01,02,
2019-10-01,02,
2019-11-01,02,
2019-12-01,02,
2020-01-01,02,
2020-02-01,02,
2020-03-01,02,
2020-04-01,02,
2020-05-01,02,
2020-06-01,02,
2020-07-01,02,
2020-08-01,02,
2020-09-01,02,
2020-10-01,02,
2020-11-01,02,
2020-12-01,02,
2021-01-01,02,
2021-02-01,02,
2021-03-01,02,
2021-04-01,02,
2021-05-01,02,
2021-06-01,02,
2021-07-01,02,
2021-08-01,02,
2021-09-01,02,
2021-10-01,02,
2021-11-01,02,
2021-12-01,02,
2022-01-01,02,
2022-02-01,02,
2022-03-01,02,
2022-04-01,02,
2022-05-01,02,
2022-06-01,02,
2022-07-01,02,
2022-08-01,02,
2022-09-01,02,
2022-10-01,02,
2022-11-01,02,
2022-12-01,02,
2023-01-01,02,
2023-02-01,02,
2023-03-01,02,
2023-04-01,02,
2023-05-01,02,
2023-06-01,02,
2023-07-01,02,
2023-08-01,02,
2023-09-01,02,
2023-10-01,02,
2023-11-01,02,
2023-12-01,02,
2024-01-01,02,
2024-02-01,02,
2024-03-01,02,
2024-04-01,02,
2024-05-01,02,
2024-06-01,02,
2024-07-01,02,
2024-08-01,02,
2024-09-01,02,
2024-10-01,02,
2024-11-01,02,
2024-12-01,02,
2025-01-01,02,
2025-02-01,02,
2025-03-01,02,
2025-04-01,02,
2025-05-01,02,
2025-06-01,02,
2025-07-01,02,
2025-08-01,02,
2018-01-01,03,98.0
2018-02-01,03,97.8
2018-03-01,03,97.7
2018-04-01,03,97.8
2018-05-01,03,97.7
2018-06-01,03,95.2
2018-07-01,03,95.1
2018-08-01,03,95.1
2018-09-01,03,95.0
2018-10-01,03,95.0
2018-11-01,03,94.9
2018-12-01,03,94.7
2019-01-01,03,94.8
2019-02-01,03,94.7
2019-03-01,03,94.8
2019-04-01,03,94.7
2019-05-01,03,94.6
2019-06-01,03,94.5
2019-07-01,03,94.1
2019-08-01,03,94.1
2019-09-01,03,94.1
2019-10-01,03,93.8
2019-11-01,03,93.9
2019-12-01,03,93.8
2020-01-01,03,93.7
2020-02-01,03,93.7
2020-03-01,03,93.6
2020-04-01,03,93.6
2020-05-01,03,93.6
2020-06-01,03,93.5
2020-07-01,03,93.5
2020-08-01,03,93.5
2020-09-01,03,93.5
2020-10-01,03,93.4
2020-11-01,03,93.4
2020-12-01,03,93.4
2021-01-01,03,93.3
2021-02-01,03,93.3
2021-03-01,03,93.3
2021-04-01,03,93.2
2021-05-01,03,93.1
2021-06-01,03,93.1
2021-07-01,03,93.1
2021-08-01,03,93.1
2021-09-01,03,93.0
2021-10-01,03,93.0
2021-11-01,03,92.9
2021-12-01,03,93.0
2022-01-01,03,93.0
2022-02-01,03,93.1
2022-03-01,03,93.0
2022-04-01,03,93.0
2022-05-01,03,93.1
2022-06-01,03,93.3
2022-07-01,03,93.4
2022-08-01,03,93.4
2022-09-01,03,93.4
2022-10-01,03,93.4
2022-11-01,03,93.4
2022-12-01,03,93.4
2023-01-01,03,93.5
2023-02-01,03,93.5
2023-03-01,03,93.5
2023-04-01,03,93.5
2023-05-01,03,93.5
2023-06-01,03,93.4
2023-07-01,03,93.5
2023-08-01,03,93.4
2023-09-01,03,93.5
2023-10-01,03,93.4
2023-11-01,03,93.4
2023-12-01,03,93.4
2024-01-01,03,93.3
2024-02-01,03,93.3
2024-03-01,03,93.3
2024-04-01,03,93.2
2024-05-01,03,93.3
2024-06-01,03,93.3
2024-07-01,03,93.3
2024-08-01,03,93.2
2024-09-01,03,93.2
2024-10-01,03,93.2
2024-11-01,03,93.1
2024-12-01,03,92.9
2025-01-01,03,93.0
2025-02-01,03,93.1
2025-03-01,03,93.1
2025-04-01,03,93.1
2025-05-01,03,93.1
2025-06-01,03,93.0
2025-07-01,03,93.1
2025-08-01,03,93.1
2018-01-01,04,120.7
2018-02-01,04,121.5
2018-03-01,04,121.5
2018-04-01,04,121.5
2018-05-01,04,122.3
2018-06-01,04,122.2
2018-07-01,04,122.2
2018-08-01,04,123.1
2018-09-01,04,123.1
2018-10-01,04,123.1
2018-11-01,04,123.5
2018-12-01,04,123.5
2019-01-01,04,123.5
2019-02-01,04,124.3
2019-03-01,04,124.3
2019-04-01,04,124.3
2019-05-01,04,124.7
2019-06-01,04,124.7
2019-07-01,04,124.8
2019-08-01,04,125.5
2019-09-01,04,125.5
2019-10-01,04,125.6
2019-11-01,04,126.1
2019-12-01,04,126.1
2020-01-01,04,126.2
2020-02-01,04,126.7
2020-03-01,04,126.7
2020-04-01,04,126.7
2020-05-01,04,126.5
2020-06-01,04,126.5
2020-07-01,04,126.5
2020-08-01,04,126.7
2020-09-01,04,126.7
2020-10-01,04,126.7
2020-11-01,04,126.8
2020-12-01,04,126.8
2021-01-01,04,126.8
2021-02-01,04,127.2
2021-03-01,04,127.2
2021-04-01,04,127.2
2021-05-01,04,127.3
2021-06-01,04,127.3
2021-07-01,04,127.3
2021-08-01,04,127.4
2021-09-01,04,127.5
2021-10-01,04,127.5
2021-11-01,04,127.8
2021-12-01,04,127.9
2022-01-01,04,127.9
2022-02-01,04,128.4
2022-03-01,04,128.4
2022-04-01,04,128.5
2022-05-01,04,129.0
2022-06-01,04,129.1
2022-07-01,04,129.1
2022-08-01,04,129.8
2022-09-01,04,129.8
2022-10-01,04,129.8
2022-11-01,04,130.1
2022-12-01,04,130.1
2023-01-01,04,130.1
2023-02-01,04,130.9
2023-03-01,04,130.9
2023-04-01,04,130.9
2023-05-01,04,131.7
2023-06-01,04,131.7
2023-07-01,04,131.7
2023-08-01,04,132.0
2023-09-01,04,132.1
2023-10-01,04,132.1
2023-11-01,04,132.5
2023-12-01,04,132.5
2024-01-01,04,132.5
2024-02-01,04,132.9
2024-03-01,04,132.9
2024-04-01,04,132.9
2024-05-01,04,133.9
2024-06-01,04,133.9
2024-07-01,04,133.9
2024-08-01,04,134.2
2024-09-01,04,134.2
2024-10-01,04,134.2
2024-11-01,04,134.7
2024-12-01,04,134.7
2025-01-01,04,134.9
2025-02-01,04,136.0
2025-03-01,04,136.0
2025-04-01,04,136.1
2025-05-01,04,136.7
2025-06-01,04,136.7
2025-07-01,04,136.7
2025-08-01,04,137.1
2018-01-01,05,115.8
2018-02-01,05,115.7
2018-03-01,05,115.8
2018-04-01,05,115.9
2018-05-01,05,115.9
2018-06-01,05,113.1
2018-07-01,05,113.1
2018-08-01,05,113.2
2018-09-01,05,114.3
2018-10-01,05,114.8
2018-11-01,05,115.1
2018-12-01,05,115.3
2019-01-01,05,115.5
2019-02-01,05,115.8
2019-03-01,05,116.1
2019-04-01,05,116.1
2019-05-01,05,116.5
2019-06-01,05,116.6
2019-07-01,05,116.8
2019-08-01,05,116.8
2019-09-01,05,116.7
2019-10-01,05,116.7
2019-11-01,05,116.8
2019-12-01,05,116.9
2020-01-01,05,116.9
2020-02-01,05,117.0
2020-03-01,05,117.0
2020-04-01,05,116.5
2020-05-01,05,116.3
2020-06-01,05,116.4
2020-07-01,05,116.7
2020-08-01,05,116.7
2020-09-01,05,116.8
2020-10-01,05,116.8
2020-11-01,05,116.7
2020-12-01,05,116.8
2021-01-01,05,117.1
2021-02-01,05,117.3
2021-03-01,05,118.0
2021-04-01,05,118.4
2021-05-01,05,118.7
2021-06-01,05,118.7
2021-07-01,05,118.7
2021-08-01,05,118.7
2021-09-01,05,118.8
2021-10-01,05,119.3
2021-11-01,05,119.7
2021-12-01,05,120.0
2022-01-01,05,120.7
2022-02-01,05,121.0
2022-03-01,05,121.5
2022-04-01,05,121.6
2022-05-01,05,122.2
2022-06-01,05,122.7
2022-07-01,05,123.4
2022-08-01,05,123.8
2022-09-01,05,124.0
2022-10-01,05,124.2
2022-11-01,05,124.3
2022-12-01,05,124.4
2023-01-01,05,124.9
2023-02-01,05,125.1
2023-03-01,05,125.3
2023-04-01,05,125.3
2023-05-01,05,125.5
2023-06-01,05,125.5
2023-07-01,05,125.7
2023-08-01,05,125.9
2023-09-01,05,125.9
2023-10-01,05,126.0
2023-11-01,05,126.1
2023-12-01,05,126.1
2024-01-01,05,126.1
2024-02-01,05,126.2
2024-03-01,05,126.4
2024-04-01,05,126.5
2024-05-01,05,126.5
2024-06-01,05,126.6
2024-07-01,05,126.8
2024-08-01,05,126.8
2024-09-01,05,126.7
2024-10-01,05,126.6
2024-11-01,05,126.7
2024-12-01,05,126.6
2025-01-01,05,126.7
2025-02-01,05,126.6
2025-03-01,05,126.7
2025-04-01,05,126.6
2025-05-01,05,126.7
2025-06-01,05,126.7
2025-07-01,05,126.9
2025-08-01,05,127.0
2018-01-01,06,122.4
2018-02-01,06,122.5
2018-03-01,06,122.6
2018-04-01,06,122.9
2018-05-01,06,122.9
2018-06-01,06,121.2
2018-07-01,06,121.2
2018-08-01,06,121.3
2018-09-01,06,121.3
2018-10-01,06,121.3
2018-11-01,06,121.5
2018-12-01,06,121.5
2019-01-01,06,121.8
2019-02-01,06,122.0
2019-03-01,06,122.3
2019-04-01,06,122.5
2019-05-01,06,122.5
2019-06-01,06,122.7
2019-07-01,06,122.8
2019-08-01,06,123.0
2019-09-01,06,122.9
2019-10-01,06,123.0
2019-11-01,06,123.2
2019-12-01,06,123.2
2020-01-01,06,123.5
2020-02-01,06,123.6
2020-03-01,06,124.0
2020-04-01,06,124.0
2020-05-01,06,124.0
2020-06-01,06,124.1
2020-07-01,06,124.2
2020-08-01,06,124.3
2020-09-01,06,124.3
2020-10-01,06,124.4
2020-11-01,06,124.4
2020-12-01,06,124.4
2021-01-01,06,124.4
2021-02-01,06,124.5
2021-03-01,06,124.6
2021-04-01,06,124.6
2021-05-01,06,124.7
2021-06-01,06,124.7
2021-07-01,06,124.7
2021-08-01,06,124.7
2021-09-01,06,124.7
2021-10-01,06,124.7
2021-11-01,06,124.7
2021-12-01,06,124.7
2022-01-01,06,124.8
2022-02-01,06,125.1
2022-03-01,06,124.8
2022-04-01,06,124.9
2022-05-01,06,125.2
2022-06-01,06,125.4
2022-07-01,06,125.7
2022-08-01,06,125.8
2022-09-01,06,125.9
2022-10-01,06,126.0
2022-11-01,06,126.4
2022-12-01,06,126.3
2023-01-01,06,126.8
2023-02-01,06,127.4
2023-03-01,06,127.5
2023-04-01,06,127.5
2023-05-01,06,127.6
2023-06-01,06,127.9
2023-07-01,06,128.2
2023-08-01,06,128.8
2023-09-01,06,128.7
2023-10-01,06,129.0
2023-11-01,06,129.3
2023-12-01,06,129.5
2024-01-01,06,129.8
2024-02-01,06,130.3
2024-03-01,06,130.2
2024-04-01,06,130.5
2024-05-01,06,130.6
2024-06-01,06,130.4
2024-07-01,06,130.9
2024-08-01,06,131.0
2024-09-01,06,130.9
2024-10-01,06,131.0
2024-11-01,06,131.2
2024-12-01,06,131.2
2025-01-01,06,131.7
2025-02-01,06,131.9
2025-03-01,06,131.9
2025-04-01,06,132.0
2025-05-01,06,132.2
2025-06-01,06,132.2
2025-07-01,06,132.4
2025-08-01,06,132.5
2018-01-01,07,114.6
2018-02-01,07,114.2
2018-03-01,07,112.8
2018-04-01,07,112.8
2018-05-01,07,112.6
2018-06-01,07,111.7
2018-07-01,07,111.7
2018-08-01,07,111.8
2018-09-01,07,112.1
2018-10-01,07,112.4
2018-11-01,07,112.5
2018-12-01,07,112.0
2019-01-01,07,105.9
2019-02-01,07,106.4
2019-03-01,07,109.2
2019-04-01,07,109.7
2019-05-01,07,109.8
2019-06-01,07,109.5
2019-07-01,07,109.6
2019-08-01,07,109.5
2019-09-01,07,109.6
2019-10-01,07,109.8
2019-11-01,07,109.8
2019-12-01,07,109.9
2020-01-01,07,107.4
2020-02-01,07,106.6
2020-03-01,07,109.5
2020-04-01,07,109.9
2020-05-01,07,110.0
2020-06-01,07,109.3
2020-07-01,07,109.4
2020-08-01,07,109.6
2020-09-01,07,109.5
2020-10-01,07,109.6
2020-11-01,07,109.6
2020-12-01,07,109.6
2021-01-01,07,106.8
2021-02-01,07,107.1
2021-03-01,07,110.2
2021-04-01,07,110.6
2021-05-01,07,110.9
2021-06-01,07,110.4
2021-07-01,07,110.5
2021-08-01,07,110.4
2021-09-01,07,110.5
2021-10-01,07,110.8
2021-11-01,07,110.4
2021-12-01,07,111.7
2022-01-01,07,110.3
2022-02-01,07,110.8
2022-03-01,07,114.5
2022-04-01,07,115.2
2022-05-01,07,116.1
2022-06-01,07,116.1
2022-07-01,07,117.2
2022-08-01,07,117.8
2022-09-01,07,118.7
2022-10-01,07,119.3
2022-11-01,07,119.1
2022-12-01,07,119.8
2023-01-01,07,117.5
2023-02-01,07,117.7
2023-03-01,07,121.0
2023-04-01,07,122.0
2023-05-01,07,122.3
2023-06-01,07,121.80000000000001
2023-07-01,07,122.0
2023-08-01,07,122.00000000000001
2023-09-01,07,122.2
2023-10-01,07,122.5
2023-11-01,07,121.8
2023-12-01,07,122.5
2024-01-01,07,119.96749999999999
2024-02-01,07,120.3
2024-03-01,07,123.9
2024-04-01,07,124.5
2024-05-01,07,124.9
2024-06-01,07,124.3
2024-07-01,07,124.6
2024-08-01,07,124.7
2024-09-01,07,125.0
2024-10-01,07,125.0
2024-11-01,07,123.9
2024-12-01,07,124.9
2025-01-01,07,122.7
2025-02-01,07,123.4
2025-03-01,07,126.7
2025-04-01,07,127.2
2025-05-01,07,127.5
2025-06-01,07,127.1
2025-07-01,07,127.3
2025-08-01,07,127.3
2018-01-01,08,97.4
2018-02-01,08,97.3
2018-03-01,08,97.2
2018-04-01,08,97.1
2018-05-01,08,96.9
2018-06-01,08,94.0
2018-07-01,08,94.0
2018-08-01,08,93.9
2018-09-01,08,96.1
2018-10-01,08,96.1
2018-11-01,08,96.1
2018-12-01,08,96.1
2019-01-01,08,96.0
2019-02-01,08,96.1
2019-03-01,08,96.1
2019-04-01,08,96.0
2019-05-01,08,96.0
2019-06-01,08,96.0
2019-07-01,08,96.0
2019-08-01,08,96.0
2019-09-01,08,96.0
2019-10-01,08,97.4
2019-11-01,08,97.5
2019-12-01,08,97.5
2020-01-01,08,97.5
2020-02-01,08,97.5
2020-03-01,08,97.5
2020-04-01,08,97.5
2020-05-01,08,97.5
2020-06-01,08,97.5
2020-07-01,08,97.5
2020-08-01,08,97.5
2020-09-01,08,97.5
2020-10-01,08,97.5
2020-11-01,08,97.5
2020-12-01,08,97.5
2021-01-01,08,97.5
2021-02-01,08,97.5
2021-03-01,08,97.5
2021-04-01,08,97.5
2021-05-01,08,97.5
2021-06-01,08,97.5
2021-07-01,08,97.5
2021-08-01,08,97.5
2021-09-01,08,97.5
2021-10-01,08,97.5
2021-11-01,08,97.5
2021-12-01,08,97.5
2022-01-01,08,97.5
2022-02-01,08,97.5
2022-03-01,08,97.5
2022-04-01,08,97.5
2022-05-01,08,97.5
2022-06-01,08,97.5
2022-07-01,08,97.5
2022-08-01,08,97.5
2022-09-01,08,97.5
2022-10-01,08,97.5
2022-11-01,08,97.5
2022-12-01,08,97.4
2023-01-01,08,96.1
2023-02-01,08,96.1
2023-03-01,08,96.1
2023-04-01,08,96.1
2023-05-01,08,93.9
2023-06-01,08,94.0
2023-07-01,08,93.9
2023-08-01,08,93.9
2023-09-01,08,93.9
2023-10-01,08,93.9
2023-11-01,08,93.9
2023-12-01,08,93.8
2024-01-01,08,93.8
2024-02-01,08,93.8
2024-03-01,08,93.8
2024-04-01,08,93.7
2024-05-01,08,94.3
2024-06-01,08,94.3
2024-07-01,08,94.4
2024-08-01,08,94.4
2024-09-01,08,94.3
2024-10-01,08,92.3
2024-11-01,08,90.2
2024-12-01,08,88.7
2025-01-01,08,88.8
2025-02-01,08,88.8
2025-03-01,08,88.7
2025-04-01,08,89.5
2025-05-01,08,89.4
2025-06-01,08,89.2
2025-07-01,08,88.4
2025-08-01,08,89.1
2018-01-01,09,111.8
2018-02-01,09,112.0
2018-03-01,09,112.0
2018-04-01,09,112.1
2018-05-01,09,112.0
2018-06-01,09,108.7
2018-07-01,09,108.9
2018-08-01,09,109.0
2018-09-01,09,111.3
2018-10-01,09,111.4
2018-11-01,09,111.4
2018-12-01,09,111.5
2019-01-01,09,111.4
2019-02-01,09,111.6
2019-03-01,09,111.5
2019-04-01,09,111.6
2019-05-01,09,111.5
2019-06-01,09,111.6
2019-07-01,09,111.5
2019-08-01,09,111.5
2019-09-01,09,112.2
2019-10-01,09,112.2
2019-11-01,09,112.3
2019-12-01,09,112.1
2020-01-01,09,112.4
2020-02-01,09,112.4
2020-03-01,09,112.3
2020-04-01,09,112.3
2020-05-01,09,112.3
2020-06-01,09,112.3
2020-07-01,09,112.3
2020-08-01,09,112.2
2020-09-01,09,112.3
2020-10-01,09,112.4
2020-11-01,09,112.4
2020-12-01,09,112.4
2021-01-01,09,112.5
2021-02-01,09,112.5
2021-03-01,09,112.9
2021-04-01,09,113.1
2021-05-01,09,113.0
2021-06-01,09,113.0
2021-07-01,09,113.0
2021-08-01,09,113.0
2021-09-01,09,113.0
2021-10-01,09,112.6
2021-11-01,09,112.6
2021-12-01,09,112.9
2022-01-01,09,113.8
2022-02-01,09,114.3
2022-03-01,09,114.2
2022-04-01,09,114.6
2022-05-01,09,115.0
2022-06-01,09,115.5
2022-07-01,09,115.8
2022-08-01,09,116.1
2022-09-01,09,116.5
2022-10-01,09,116.4
2022-11-01,09,116.6
2022-12-01,09,115.6
2023-01-01,09,116.9
2023-02-01,09,116.3
2023-03-01,09,116.3
2023-04-01,09,116.7
2023-05-01,09,117.1
2023-06-01,09,117.4
2023-07-01,09,117.1
2023-08-01,09,117.3
2023-09-01,09,117.1
2023-10-01,09,117.2
2023-11-01,09,117.3
2023-12-01,09,117.8
2024-01-01,09,117.8
2024-02-01,09,118.2
2024-03-01,09,118.0
2024-04-01,09,119.0
2024-05-01,09,119.3
2024-06-01,09,119.6
2024-07-01,09,119.7
2024-08-01,09,119.7
2024-09-01,09,119.7
2024-10-01,09,119.6
2024-11-01,09,119.7
2024-12-01,09,119.8
2025-01-01,09,119.9
2025-02-01,09,120.0
2025-03-01,09,120.0
2025-04-01,09,120.5
2025-05-01,09,120.4
2025-06-01,09,120.5
2025-07-01,09,120.6
2025-08-01,09,120.8
2018-01-01,10,117.7
2018-02-01,10,117.8
2018-03-01,10,117.9
2018-04-01,10,118.0
2018-05-01,10,118.1
2018-06-01,10,117.9
2018-07-01,10,118.0
2018-08-01,10,118.1
2018-09-01,10,118.1
2018-10-01,10,118.1
2018-11-01,10,118.4
2018-12-01,10,118.3
2019-01-01,10,118.8
2019-02-01,10,119.3
2019-03-01,10,119.4
2019-04-01,10,119.4
2019-05-01,10,119.5
2019-06-01,10,119.5
2019-07-01,10,119.6
2019-08-01,10,119.7
2019-09-01,10,120.2
2019-10-01,10,120.3
2019-11-01,10,120.3
2019-12-01,10,120.3
2020-01-01,10,120.8
2020-02-01,10,120.9
2020-03-01,10,120.9
2020-04-01,10,120.8
2020-05-01,10,120.7
2020-06-01,10,120.5
2020-07-01,10,121.0
2020-08-01,10,121.0
2020-09-01,10,121.1
2020-10-01,10,121.1
2020-11-01,10,121.0
2020-12-01,10,121.0
2021-01-01,10,121.0
2021-02-01,10,121.0
2021-03-01,10,120.9
2021-04-01,10,121.1
2021-05-01,10,121.1
2021-06-01,10,121.1
2021-07-01,10,121.1
2021-08-01,10,121.0
2021-09-01,10,121.0
2021-10-01,10,121.0
2021-11-01,10,121.1
2021-12-01,10,121.2
2022-01-01,10,121.8
2022-02-01,10,121.9
2022-03-01,10,122.0
2022-04-01,10,122.3
2022-05-01,10,122.3
2022-06-01,10,122.4
2022-07-01,10,122.5
2022-08-01,10,122.5
2022-09-01,10,122.6
2022-10-01,10,122.7
2022-11-01,10,122.9
2022-12-01,10,122.9
2023-01-01,10,123.4
2023-02-01,10,123.9
2023-03-01,10,124.1
2023-04-01,10,124.3
2023-05-01,10,124.6
2023-06-01,10,124.7
